Id,Label,timeset
11224,",""TARANTULA/ANTON MIGU",
11225,KRAVEN THE HUNTER/SE,
11226,MORGAN,
11227,HITMAN/LT. BURT KENY,
11228,",""VULTURE/ADRIAN TOOME",
11229,",""MORGAN",
11230,",""HITMAN/LT. BURT KENY",
11231,",""MORBIUS/DR. MICHAEL",
11232,",""SHA SHAN",
11233,",""KLINE, MR.",
11234,",""CRANDAL, BEN",
11235,",""GUARDSMAN/KEVIN O'BR",
11236,",""RODGERS, MARIANNE",
11237,"RODGERS, MARIANNE",
11238,"KLINE, MR.",
11239,"CRANDAL, BEN",
11240,GUARDSMAN/KEVIN O'BR,
11241,"SITWELL, JASPER",
11242,SLASHER,
11243,DEMITRIUS,
11244,"BYRD, SEN. HARRINGTO",
11245,",""DEMITRIUS",
11246,",""WHITE DRAGON",
11247,",""FURY, COL. NICHOLAS",
